no,date,type,location,category,deaths,injuries
1,NA,墜落、滾落,平溪區,批發及零售業,1,0
2,NA,溺斃,萬里區,農、林、漁、牧業,1,0
3,NA,墜落、滾落,板橋區,營造業,1,0
4,NA,墜落、滾落,中和區,製造業,1,0
5,NA,跌倒,五股區,製造業,1,0
6,NA,溺斃,八里區,運輸及倉儲業,1,0
7,NA,被夾、被捲,新店區,運輸及倉儲業,1,0
8,NA,墜落、滾落,三重區,營造業,1,0
9,NA,墜落、滾落,蘆洲區,製造業,1,1
10,NA,爆炸,板橋區,營造業,0,3
11,NA,物體倒塌、崩塌,土城區,營造業,1,0
12,NA,墜落、滾落,汐止區,營造業,1,0
13,NA,被撞,鶯歌區,營造業,1,1
14,NA,感電,板橋區,電力及燃氣供應業,1,0
15,NA,感電,土城區,營造業,1,0
16,NA,感電,中和區,營造業,1,0
17,NA,墜落、滾落,板橋區,製造業,1,0
18,NA,墜落、滾落,新莊區,營造業,1,0
19,NA,墜落、滾落,三峽區,支援服務業,1,0
20,NA,感電,新莊區,營造業,1,0
21,NA,墜落、滾落,林口區,營造業,1,0
22,NA,墜落、滾落,新莊區,營造業,1,0
23,NA,物體飛落,八里區,製造業,1,0
24,NA,墜落、滾落,蘆洲區,營造業,1,0
25,NA,墜落、滾落,林口區,營造業,1,0
26,NA,物體飛落,土城區,營造業,1,0
27,NA,跌倒,中和區,支援服務業,1,0
28,NA,物體倒塌、崩塌,樹林區,營造業,1,0
29,NA,物體倒塌、崩塌,蘆洲區,營造業,1,0
30,NA,感電,淡水區,營造業,1,0
31,NA,溺斃,貢寮區,批發及零售業,1,0
32,NA,物體飛落,新店區,製造業,1,0
33,NA,物體倒塌、崩塌,中和區,運輸及倉儲業,1,0
34,NA,物體飛落,新莊區,製造業,1,0
35,NA,墜落、滾落,瑞芳區,批發及零售業,1,0
36,NA,跌倒,中和區,支援服務業,1,0
37,NA,溺斃,八里區,營造業,3,4
38,NA,墜落、滾落,新莊區,營造業,1,0
39,NA,感電,林口區,營造業,1,1
40,NA,衝撞,林口區,營造業,1,0
41,NA,墜落、滾落,新莊區,批發及零售業,1,0
42,NA,墜落、滾落,新莊區,營造業,1,0
43,NA,溺斃,八里區,運輸及倉儲業,2,0
44,NA,被夾、被捲,鶯歌區,製造業,1,0
45,NA,墜落、滾落,淡水區,營造業,1,0
46,NA,被夾、被捲,樹林區,批發及零售業,1,0
47,NA,感電,石門區,資訊及通訊傳播業,1,0
48,NA,墜落、滾落,淡水區,營造業,1,0
49,NA,墜落、滾落,八里區,營造業,1,0
